Customer Service,1985-01-01,1988-10-17
Customer Service,1988-10-17,1992-09-08
Customer Service,1992-09-08,1996-01-03
Customer Service,1996-01-03,9999-01-01
Development,1985-01-01,1992-04-25
Development,1992-04-25,9999-01-01
Finance,1985-01-01,1989-12-17
Finance,1989-12-17,9999-01-01
Human Resources,1985-01-01,1992-03-21
Human Resources,1992-03-21,9999-01-01
Marketing,1985-01-01,1991-10-01
Marketing,1991-10-01,9999-01-01
Production,1985-01-01,1988-09-09
Production,1988-09-09,1992-08-02
Production,1992-08-02,1996-08-30
Production,1996-08-30,9999-01-01
Quality Management,1985-01-01,1989-05-06
Quality Management,1989-05-06,1991-09-12
Quality Management,1991-09-12,1994-06-28
Quality Management,1994-06-28,9999-01-01
Research,1985-01-01,1991-04-08
Research,1991-04-08,9999-01-01
Sales,1985-01-01,1991-03-07
Sales,1991-03-07,9999-01-01
